"feedback","translation"
"Všechny mezi vejcem a kukuřicí.","All the ones between the egg and the corn."
"Kde je housenka a kde je tramvaj? Vyber obrázek, který je mezi nimi.","Where is the caterpillar and where is the tram? Choose the picture that is between them."
"Co znamená všechny mezi zebrou a mrkví?","What does “all the ones between the zebra and the carrot” mean?"
"Kde je kachna a kde je rostlina? Vyber obrázek, který je mezi nimi.","Where is the duck and where is the plant? Choose the picture that is between them."
"Прямо перед дев'ятим зображенням.","Right before the ninth picture."
"У правому верхньому полі означає, що щось знаходиться зовсім справа і зовсім вгорі.","In the top right box means something is all the way to the right and all the way at the top."
"Усі між хвойним деревом і полуницею.","All the ones between the pine tree and the strawberry."
"Не спеши. Спокойно подумай.","Don’t rush. Take your time and think."
"Все между котёнком и куриной ножкой.","Everything between the kitten and the chicken drumstick."
"Посмотри на все картинки. Как они меняются?","Look at all the pictures. How are they changing?"
"Všechny mezi listnatým stromem a šaty.","All the ones between the leafy tree and the dress."
"Když v červeném má být o dva víc než v modrém, tak v modrém musí být o dva méně než v červeném?","If there should be two more in the red than in the blue, then does the blue have to have two less than the red?"
"Všechny mezi krávou a zelím.","All the ones between the cow and the cabbage."
"Ты знаешь, что значит в правой коробке, в среднем ряду?","Do you know what it means in the right box, in the middle row?"
"Где яблоко и олень? Выбери картинку, которая между ними.","Where are the apple and the deer? Pick the picture that’s between them."
"Включи звук с номером у паровозика. По звуку перетащи правильные вагончики к паровозику.","Turn on the sound with the number by the train. Drag the right train cars to the train by the sound."
"Trong hộp xanh phải có nhiều tranh hơn hộp đỏ.","There should be more pictures in the blue box than in the red box."
"Co znamená mezi kalhotami a jahodou?","What does ""between the pants and the strawberry"" mean?"
"Kde jsou kalhoty a jahoda? Vyber obrázek, který je mezi nimi.","Where are the pants and the strawberry? Choose the picture that is between them."
"Nestojí znamená, že nemá nohy rovně a zadeček má třeba na zemi.","""Not standing"" means their legs aren’t straight and their bottom might be on the ground."
"Třetí.","The third one."
"У червоній має бути на дві менше, ніж у синій.","There should be two fewer in the red one than in the blue one."
"Co znamená všechny mezi pavoukem a lanovkou?","What does ""all between the spider and the cable car"" mean?"
"Kde je komár a hrošík? Vyber obrázek, který je mezi nimi.","Where are the mosquito and the little hippo? Choose the picture that is between them."
"Všechny mezi housenkou a králíkem.","All between the caterpillar and the rabbit."
"Kde je svíčka a zmrzlina? Vyber obrázek, který je mezi nimi.","Where are the candle and the ice cream? Choose the picture that is between them."
"Všechny mezi krávou a pitím.","All the pictures between the cow and the drink."
"Všechny mezi brokolicí a kyticí.","All the pictures between the broccoli and the bouquet."
"Kde je trumpeta a kytice? Vyber obrázek, který je mezi nimi.","Where is the trumpet and the bouquet? Choose the picture that is between them."
"Kde je zebra a mrkev? Vyber obrázky, které jsou mezi nimi.","Where is the zebra and the carrot? Choose the pictures that are between them."
"Všechny mezi motýlem a tramvají.","All the pictures between the butterfly and the tram."
"Vpravo uprostřed – víš, co znamená vpravo uprostřed?","On the right in the middle – do you know what “on the right in the middle” means?"
"Kde je drak a bonbón? Vyber obrázek, který je mezi nimi.","Where is the dragon and the candy? Choose the picture that is between them."
"Kde je autobus a salát? Vyber obrázky, které jsou mezi nimi.","Where is the bus and the lettuce? Choose the pictures that are between them."
"Všechny mezi svíčkou a jahodou.","All the pictures between the candle and the strawberry."
"Kde je tričko a kde je netopýr? Vyber všechny obrázky, které jsou mezi nimi.","Where is the t-shirt and where is the bat? Choose all the pictures that are between them."
"Co znamená všechny mezi rostlinou a trumpetou?","What does “everything between the plant and the trumpet” mean?"
"Kde je rostlina a kde je trumpeta? Vyber obrázek, který je mezi nimi.","Where is the plant and where is the trumpet? Choose the picture that is between them."
"Co znamená mezi drakem a hrošíkem?","What does “between the dragon and the little hippo” mean?"
"Všechny mezi pavučinou a květinou.","Everything between the spiderweb and the flower."
"Co znamená všechny mezi jelenem a taškou?","What does “everything between the deer and the bag” mean?"
"Co znamená všechny mezi kýblem a hrošíkem?","What does “everything between the bucket and the little hippo” mean?"
"Všechny mezi housenkou a princeznou.","Everything between the caterpillar and the princess."
"Kde je kelímek a hrošík? Vyber obrázky, které jsou mezi nimi.","Where is the cup and the little hippo? Choose the pictures that are between them."
"Všechny mezi vejcem a trumpetou.","Everything between the egg and the trumpet."
"Co znamená všechny mezi dortem a kelímkem?","What does “everything between the cake and the cup” mean?"
"Co znamená všechny mezi kaštanem a psem?","What does “all between the chestnut and the dog” mean?"
"Kde je divoké prase a jahoda? Vyber všechny obrázky, které jsou mezi nimi.","Where are the wild boar and the strawberry? Choose all the pictures that are between them."
"Když v červeném má být o dva více než v modrém, tak v modrém musí být o dva méně než v červeném?","If there should be two more in the red than in the blue, does that mean there must be two fewer in the blue than in the red?"
"Kde je brokolice a rostlina? Vyber obrázek, který je mezi nimi.","Where are the broccoli and the plant? Choose the picture that is between them."
"Co znamená všechny mezi králíkem a kuřecím stehnem?","What does “all between the rabbit and the chicken drumstick” mean?"
"Spočítej obrázky v šedém rámečku a najdi rámeček, kde je čtyři.","Count the pictures in the gray box and find the box that has four."
"Všechny mezi listem a lanovkou.","All between the leaf and the cable car."
"Kde je farmář a svíčka? Vyber obrázek, který je mezi nimi.","Where are the farmer and the candle? Choose the picture that is between them."
"Všechny mezi jablíčkem a kyblíkem.","All between the apple and the bucket."
"Všechny mezi jablkem a diamantem.","All between the apple and the diamond."
"Všechny mezi medvídkem a balónkem.","All the ones between the teddy bear and the balloon."
"Všechny mezi trumpetou a kýblem.","All the ones between the trumpet and the bucket."
"Co znamená všechny mezi krávou a zmrzlinou?","What does “all the ones between the cow and the ice cream” mean?"
"Všechny mezi mouchou a medvídkem.","All the ones between the fly and the teddy bear."
"Kde je moucha a medvídek? Vyber obrázek, který je mezi nimi.","Where is the fly and the teddy bear? Pick the picture that is between them."
"Co znamená všechny mezi krávou a diamantem?","What does “all the ones between the cow and the diamond” mean?"
"Co znamená mezi jehličnatým stromem a kuřecím stehnem?","What does “between the pine tree and the chicken drumstick” mean?"
"Kde je jelen a bonbón? Vyber obrázek, který je mezi nimi.","Where is the deer and the candy? Pick the picture that is between them."
"Co znamená mezi žirafou a ovcí?","What does “between the giraffe and the sheep” mean?"
"Kde je kráva a pes? Vyber obrázek, který je mezi nimi.","Where is the cow and the dog? Pick the picture that is between them."
"Obrazek przed ostatnim.","The picture just before the last one."
"Wszystkie obrazki między drugim a piątym.","All the pictures between the second and the fifth."
"Na dole po prawej.","At the bottom right."
"Obrazek znajdujący się w środku szeregu.","The picture in the middle of the row."
"W szarej ramce jest pięć obrazków. Gdzie jest o jeden obrazek mniej?","There are five pictures in the gray box. Where is there one picture less?"
"Gdzie jest pajęczyna i gdzie jest balon? Wybierz wszystkie obrazki, które są między nimi.","Where is the spider web and where is the balloon? Choose all the pictures that are between them."
"Gdzie jest brokuł i gdzie jest marchewka? Wybierz wszystkie obrazki, które są między nimi.","Where is the broccoli and where is the carrot? Choose all the pictures that are between them."
"Wiesz, co znaczy o dwa więcej?","Do you know what “two more” means?"
"Wiesz, gdzie jest ostatni obrazek? Które wszystkie obrazki są przed nim?","Do you know where the last picture is? Which pictures are before it?"
"Kiedy w czerwonej ma być mniej, to w niebieskiej musi być ile?","When there should be fewer in the red one, how many must there be in the blue one?"
"W szarej ramce są cztery obrazki. Gdzie jest o jeden obrazek mniej?","There are four pictures in the gray box. Where is there one picture less?"
"To zwierzę, nie ma kapelusza i nie siedzi.","This is an animal, it doesn’t have a hat and it isn’t sitting."
"Nie jest człowiekiem, ma czapkę i stoi.","It’s not a person, it has a cap and it’s standing."
"Wiesz, co znaczy środkowe lewe pole?","Do you know what the middle left square means?"
"Wszystkie między trzecim a piątym obrazkiem.","All the ones between the third and fifth picture."
"Obrazek znajdujący się za pierwszym obrazkiem.","The picture that comes after the first picture."
"To człowiek, nie ma czapki i siedzi.","This is a person, doesn’t have a cap and is sitting."
"To zwierzę, nie ma czapki i stoi.","This is an animal, doesn’t have a cap and is standing."
"Wszystkie między jeleniem a wiaderkiem.","All the ones between the deer and the bucket."
"Wiesz, który to piąty obrazek? Wybierz obrazek, który jest tuż przed nim.","Do you know which one is the fifth picture? Choose the picture that is right before it."
"W czerwonej ramce ma być o jeden obrazek mniej niż w niebieskiej.","There should be one fewer picture in the red box than in the blue box."
"Znajdź lokomotywę z dźwiękiem liczby pięć. Wiesz na pewno, że ma wagoniki z pięcioma obrazkami i z liczbą pięć?","Find the train engine with the sound for the number five. Are you sure it has carriages with five pictures and the number five?"
"W niebieskiej ma być o jeden mniej niż w czerwonej, ale możesz przesuwać tylko w czerwonej.","There should be one fewer in the blue box than in the red box, but you can only move pictures in the red box."
"Co znamená všechny mezi okurkou a divokým prasetem?","What does “all between the cucumber and the wild boar” mean?"
"Všechny mezi kaštanem a jelenem.","All between the chestnut and the deer."
"Chọn tất cả các hình sau hình đầu tiên.","Select all the pictures after the first one."
"Trong hộp đỏ phải có nhiều tranh hơn hộp xanh.","There must be more pictures in the red box than in the blue box."
"Kde je kachna a lízátko? Vyber všechny obrázky, které jsou mezi nimi.","Where is the duck and the lollipop? Choose all the pictures that are between them."
"Kde jsou kalhoty a jahoda? Vyber všechny obrázky, které jsou mezi nimi.","Where are the pants and the strawberry? Choose all the pictures that are between them."
"Квіти, які знаходяться у воді.","Flowers that are in the water."
"Що означає всі між лебедем і тортом?","What does “all between the swan and the cake” mean?"
"Co znamená všechny mezi hroznem a melounem?","What does “all between the grape and the melon” mean?"
"Všechny mezi pavučinou a salátem.","All between the spiderweb and the lettuce."
"Нэг эвэртэй адуу ба гудамжны тэрэгийн хооронд байгаа бүх зургуудыг.","All the pictures between the unicorn and the streetcar."
"Všechny mezi brokolicí a kukuřicí.","All between the broccoli and the corn."
"Що означає всі між штанами та канатною дорогою?","What does “all between the pants and the cable car” mean?"
"Být ve vodě znamená, že něco plave nebo je ponořené v řece, jezeře nebo v bazénu.","Being in the water means something is floating or is underwater in a river, lake, or pool."
"Všechny mezi divokým prasetem a zmrzlinou.","All between the wild boar and the ice cream."
"Де сукня і кавун? Вибери всі картинки, які між ними.","Where are the dress and the watermelon? Choose all the pictures that are between them."
"У сірій частині сім зображень. Де на одне зображення більше?","There are seven pictures in the gray part. Where is there one more picture?"
"There should be fewer in the blue than in the red.","There should be fewer in the blue than in the red."
"In the gray box there are four pictures. Where is one picture less?","There are four pictures in the gray box. Where is there one less picture?"
"Kde je prasátko a lízátko? Vyber obrázek, který je mezi nimi.","Where is the pig and the lollipop? Choose the picture that is between them."
"Všechny mezi jablkem a kuřecím stehnem.","All the pictures between the apple and the chicken drumstick."
"Všechny mezi svíčkou a kelímkem.","All the pictures between the candle and the cup."
"Усі між деревом і діамантом.","All the pictures between the tree and the diamond."
"Де ялинка і діамант? Обери всі картинки, які між ними.","Where is the fir tree and the diamond? Choose all the pictures that are between them."
"Všechny mezi komárem a zmrzlinou.","All the pictures between the mosquito and the ice cream."
"Když nesedí, tak to znamená, že nemá zadeček na židli nebo na zemi.","If you’re not sitting, it means your bottom isn’t on the chair or on the floor."
"Kde je housenka a květina? Vyber obrázek, který je mezi nimi.","Where is the caterpillar and the flower? Pick the picture that is between them."
"Všechny mezi hroznem a kelímkem.","All the ones between the grapes and the cup."
"Co znamená všechny mezi netopýrem a hrošíkem?","What does it mean, all the ones between the bat and the little hippo?"
"Kde je jablko a kelímek? Vyber všechny obrázky, které jsou mezi nimi.","Where is the apple and the cup? Pick all the pictures that are between them."
"Kde je kráva a kytice? Vyber všechny obrázky, které jsou mezi nimi.","Where is the cow and the bouquet? Pick all the pictures that are between them."
"Všechny mezi kachnou a princeznou.","All the ones between the duck and the princess."
"Co znamená všechny mezi kukuřicí a jahodou?","What does it mean, all the ones between the corn and the strawberry?"
"Všechny mezi tričkem a psem.","All the ones between the T-shirt and the dog."
"Nemáš jen přidat dva, ale v modrém rámečku má být o dva více než v červeném.","You don’t just need to add two, but there should be two more in the blue box than in the red box."
"Co znamená všechny mezi trumpetou a zebrou?","What does it mean, all the pictures between the trumpet and the zebra?"
"Co znamená všechny mezi kuřecím stehnem a hrošíkem?","What does it mean, all the pictures between the chicken drumstick and the little hippo?"
"Všechny mezi ovcí a jednorožcem.","All the pictures between the sheep and the unicorn."
"Co znamená mezi diamantem a balónkem?","What does it mean, between the diamond and the balloon?"
"Co znamená všechny mezi listnatým stromem a kyticí?","What does it mean, all the pictures between the leafy tree and the bouquet?"
"Všechny mezi kalhotami a tramvají.","All the pictures between the pants and the tram."
"Kde jsou šaty a zmrzlina? Vyber obrázky, které jsou mezi nimi.","Where are the dress and the ice cream? Pick the pictures that are between them."
"Všechny mezi labutí a jablkem.","All the pictures between the swan and the apple."
"Kde je zebra a zmrzlina? Vyber obrázek, který je mezi nimi.","Where is the zebra and the ice cream? Pick the picture that is between them."
"Co znamená mezi krávou a hrošíkem?","What does it mean, between the cow and the little hippo?"
"Všechny mezi psem a kuřecím stehnem.","All the ones between the dog and the chicken leg."
"Všechny mezi vrtulníkem a taškou.","All the ones between the helicopter and the bag."
"Kde je housenka a salát? Vyber všechny obrázky, které jsou mezi nimi.","Where is the caterpillar and the lettuce? Pick all the pictures that are between them."
"Kde je listnatý strom a bonbón? Vyber všechny obrázky, které jsou mezi nimi.","Where is the leafy tree and the candy? Pick all the pictures that are between them."
"Co znamená všechny mezi prasátkem a jednorožcem?","What does “all the ones between the piglet and the unicorn” mean?"
"Všechny mezi labutí a nápojem.","All the ones between the swan and the drink."
"Kde je jablko a diamant? Vyber všechny obrázky, které jsou mezi nimi.","Where is the apple and the diamond? Pick all the pictures that are between them."
"Co znamená všechny mezi divokým prasetem a kočkou?","What does “all the ones between the wild boar and the cat” mean?"
"Kde je kráva a dort? Vyber obrázky, které jsou mezi nimi.","Where is the cow and the cake? Pick the pictures that are between them."
"Všechny mezi králíkem a lízátkem.","All the ones between the rabbit and the lollipop."
"Co znamená všechny mezi labutí a tričkem?","What does “all the ones between the swan and the t-shirt” mean?"
"Kde je okurka a kelímek? Vyber všechny obrázky, které jsou mezi nimi.","Where is the cucumber and where is the cup? Choose all the pictures that are between them."
"Kde je pavouk a medvídek? Vyber obrázek, který je mezi nimi.","Where is the spider and where is the teddy bear? Choose the picture that is between them."
"Nestojí znamená, že nemá nohy rovně a zadeček má třeba na židli nebo na zemi.","“Not standing” means their legs aren’t straight and their bottom is on a chair or on the floor."
"Kde je housenka a kde je dort? Vyber všechny obrázky, které jsou mezi nimi.","Where is the caterpillar and where is the cake? Choose all the pictures that are between them."
"Všechny mezi okurkou a balónkem.","All the ones between the cucumber and the balloon."
"Kde je medvídek a mrkev? Vyber obrázky, které jsou mezi nimi.","Where is the teddy bear and where is the carrot? Choose the pictures that are between them."
"Všechny mezi pavučinou a tričkem.","All the ones between the spiderweb and the t-shirt."
"Co znamená mezi komárem a bonbónem?","What does “between the mosquito and the candy” mean?"
"Co znamená všechny mezi králíkem a melounem?","What does “all the ones between the rabbit and the watermelon” mean?"
"Kde je brokolice a dort? Vyber všechny obrázky, které jsou mezi nimi.","Where are the broccoli and the cake? Pick all the pictures that are between them."
"Všechny mezi jehličnatým stromem a tramvají.","All the ones between the pine tree and the tram."
"Co znamená všechny mezi housenkou a trumpetou?","What does it mean, all the ones between the caterpillar and the trumpet?"
"Усі між песиком та виноградом.","All the ones between the puppy and the grapes."
"Kde je kachna a princezna? Vyber všechny obrázky, které jsou mezi nimi.","Where are the duck and the princess? Pick all the pictures that are between them."
"There must be another way.","There must be another way."
"It is not an animal, it has a hat, and it is standing.","It is not an animal, it has a hat, and it is standing."
"You know the first picture. Which pictures come after it? Pick all of them.","You know the first picture. Which pictures come after it? Pick all of them."
"There should be fewer in the red than in the blue.","There should be fewer in the red than in the blue."
"In the gray box there are five pictures. Where is one picture less?","In the gray box there are five pictures. Where is there one picture less?"
"Všechny mezi žirafou a divokým prasetem.","All the ones between the giraffe and the wild boar."
"Všechny mezi kaštanem a balónkem.","All the ones between the chestnut and the balloon."
"Všechny mezi brokolicí a hrošíkem.","All the ones between the broccoli and the little hippo."
"Kde je drak a kelímek? Vyber obrázek, který je mezi nimi.","Where is the dragon and the cup? Pick the picture that is between them."
"TASK není zadaný, takže nemohu vytáhnout podmínku.","The TASK is not given, so I can't pull out the condition."
"Co znamená všechny mezi labutí a šaty?","What does “all the ones between the swan and the dress” mean?"
"Všechny mezi trumpetou a taškou.","All the ones between the trumpet and the bag."
"Де лебідь і кавун? Вибери всі картинки, які між ними.","Where is the swan and the watermelon? Pick all the pictures that are between them."
"To nie jest zwierzę, ma czapkę i siedzi.","This is not an animal, it has a hat and is sitting."
"W szarej ramce są trzy obrazki. Gdzie jest o dwa obrazki mniej?","There are three pictures in the gray box. Where are there two pictures less?"
"To nie jest zwierzę, nie ma czapki i siedzi.","It's not an animal, it doesn't have a hat, and it's sitting."
"Wiesz, co znaczy w lewym górnym rogu?","Do you know what it means in the top left corner?"
"Co znamená všechny mezi dortem a melounem?","What does ""all between the cake and the watermelon"" mean?"
"Co znamená mezi krávou a balónkem?","What does ""between the cow and the balloon"" mean?"
"What does select all pictures before the last picture mean?","What does ""select all pictures before the last picture"" mean?"
"Do you know where the last picture is? Which pictures are all before it?","Do you know where the last picture is? Which pictures are before it?"
"Що означає знайти зелених тварин?","What does ""find the green animals"" mean?"
"Усі між поросям і букетом.","All between the piglet and the bouquet."
"Де порося і букет? Обери всі картинки, які між ними.","Where are the piglet and the bouquet? Choose all the pictures that are between them."
"What does ""all between chestnut and corn"" mean?","What does ""all between chestnut and corn"" mean?"
"In the gray box are two pictures. Where are two more pictures?","There are two pictures in the gray box. Where are two more pictures?"
"There should be one more in the blue than in the red.","There should be one more in the blue than in the red."
"The picture right before the last one.","The picture right before the last one."
"Co znamená všechny mezi šaty a kelímkem?","What does “all between the dress and the cup” mean?"
"Všechny mezi jehličnatým stromem a lízátkem.","All the pictures between the pine tree and the lollipop."
"Všechny mezi jehličnatým stromem a komárem.","All the pictures between the pine tree and the mosquito."
"Kde je pes a bonbón? Vyber obrázek, který je mezi nimi.","Where is the dog and the candy? Pick the picture that is between them."
"Všechny mezi farmářem a kyticí.","All the pictures between the farmer and the bouquet."
"Když v modrém má být víc, tak v červeném musí být kolik?","If there should be more in the blue, then how many must be in the red?"
"Všechny mezi pavučinou a mrkví.","All the pictures between the spider web and the carrot."
"Co znamená všechny mezi pavučinou a mrkví?","What does “all the ones between the spider web and the carrot” mean?"
"Všechny mezi autobusem a jahodou.","All the ones between the bus and the strawberry."
"Kde je pes a hrošík? Vyber obrázky, které jsou mezi nimi.","Where are the dog and the little hippo? Choose the pictures that are between them."
"Všechny mezi jablkem a housenkou.","All the ones between the apple and the caterpillar."
"Co znamená všechny mezi brokolicí a zmrzlinou?","What does “all the ones between the broccoli and the ice cream” mean?"
"Kde je brokolice a zmrzlina? Vyber všechny obrázky, které jsou mezi nimi.","Where are the broccoli and the ice cream? Choose all the pictures that are between them."
"Kde je prasátko a housenka? Vyber všechny obrázky, které jsou mezi nimi.","Where are the piglet and the caterpillar? Choose all the pictures that are between them."
"Co znamená všechny mezi šaty a svíčkou?","What does “all the ones between the dress and the candle” mean?"
"Kde je jablko a divoké prase? Vyber obrázek, který je mezi nimi.","Where are the apple and the wild boar? Choose the picture that is between them."
"Nestačí, aby bylo v modrém rámečku jen více obrázků než v červeném, ale musí jich tam být přesně o jeden více.","It’s not enough for the blue box to have just more pictures than the red box; it must have exactly one more."
"Všechny mezi komárem a kočkou.","All the ones between the mosquito and the cat."
"Co znamená mezi okurkou a princeznou?","What does it mean to be between the cucumber and the princess?"
"Kde je listnatý strom a kočka? Vyber obrázek, který je mezi nimi.","Where is the leafy tree and the cat? Choose the picture that is between them."
"Co znamená všechny mezi králíkem a diamantem?","What does all the ones between the rabbit and the diamond mean?"
"Kde je zebra a jahoda? Vyber obrázek, který je mezi nimi.","Where is the zebra and the strawberry? Choose the picture that is between them."
"Všechny mezi brokolicí a kalhotami.","All the ones between the broccoli and the pants."
"Co znamená mezi brokolicí a kalhotami?","What does it mean to be between the broccoli and the pants?"
"Kde je brokolice a kde jsou kalhoty? Vyber obrázek, který je mezi nimi.","Where is the broccoli and where are the pants? Choose the picture that is between them."
"Kde je jehličnatý strom a jelen? Vyber všechny obrázky, které jsou mezi nimi.","Where is the pine tree and the deer? Choose all the pictures that are between them."
"Co znamená všechny mezi ovcí a hrošíkem?","What does all the ones between the sheep and the hippo mean?"
"Co znamená všechny mezi šaty a kýblem?","What does “all between the dress and the bucket” mean?"
"Kde je jelen a zebra? Vyber obrázek, který je mezi nimi.","Where is the deer and the zebra? Choose the picture that is between them."
"Všechny mezi labutí a kýblem.","All between the swan and the bucket."
"Kde je trumpeta a kuřecí stehno? Vyber obrázek, který je mezi nimi.","Where is the trumpet and the chicken drumstick? Choose the picture that is between them."
"Co znamená všechny mezi trumpetou a balónkem?","What does “all between the trumpet and the balloon” mean?"
"Všechny mezi autobusem a trumpetou.","All between the bus and the trumpet."
"Co znamená všechny mezi jablkem a jelenem?","What does “all between the apple and the deer” mean?"
"Všechny mezi vejcem a lízátkem.","All between the egg and the lollipop."
"Kde je listnatý strom a medvídek? Vyber všechny obrázky, které jsou mezi nimi.","Where is the leafy tree and the teddy bear? Choose all the pictures that are between them."
"Umět létat znamená pohybovat se ve vzduchu jako pták nebo včela.","Being able to fly means moving through the air like a bird or a bee."
"Kde je tričko a kuřecí stehno? Vyber obrázky, které jsou mezi nimi.","Where is the t-shirt and the chicken drumstick? Choose the pictures that are between them."
"Мати капелюх означає, що на голові є капелюх.","Having a hat means there is a hat on your head."
"Co znamená všechny mezi divokým prasetem a lízátkem?","What does “all between the wild boar and the lollipop” mean?"
"Všechny mezi zebrou a dortem.","All between the zebra and the cake."
"Усі між качкою та стегном.","All between the duck and the drumstick."
"Що означає всі між качкою та стегном?","What does “all between the duck and the drumstick” mean?"
"Де третя і п’ята картинка? Вибери всі картинки, які між ними.","Where is the third and the fifth picture? Choose all the pictures that are between them."
"Kde je kaštan a králík? Vyber obrázek, který je mezi nimi.","Where is the chestnut and the rabbit? Choose the picture that is between them."
"Kde je brokolice a jahoda? Vyber všechny obrázky, které jsou mezi nimi.","Where is the broccoli and the strawberry? Choose all the pictures that are between them."
"Kde je kaštan a kde je princezna? Vyber obrázky, které jsou mezi nimi.","Where is the chestnut and where is the princess? Choose the pictures that are between them."
"Co znamená všechny mezi ovcí a kelímkem?","What does “all between the sheep and the cup” mean?"
"Nemáš jen přidat dva, ale má jich být v modrém rámečku o dva více než v červeném.","You don’t just add two; there should be two more in the blue box than in the red box."
"Co znamená všechny mezi kaštanem a hrošíkem?","What does “all between the chestnut and the hippo” mean?"
"Kde je jednorožec a mrkev? Vyber obrázek, který je mezi nimi.","Where is the unicorn and where is the carrot? Pick the picture that is between them."
"Kde je jelen a bonbón? Vyber všechny obrázky, které jsou mezi nimi.","Where is the deer and where is the candy? Pick all the pictures that are between them."
"Všechny mezi listem a autobusem.","All between the leaf and the bus."
"Kde je kráva a mrkev? Vyber všechny obrázky, které jsou mezi nimi.","Where is the cow and where is the carrot? Pick all the pictures that are between them."
"Co znamená mezi kukuřicí a salátem?","What does “between the corn and the lettuce” mean?"
"Kde je pavučina a kde je kočka? Vyber obrázek, který je mezi nimi.","Where is the spider web and where is the cat? Pick the picture that is between them."
"Kde je pavouk a tramvaj? Vyber všechny obrázky, které jsou mezi nimi.","Where is the spider and where is the tram? Pick all the pictures that are between them."
"Všechny mezi vejcem a jelenem.","All the pictures between the egg and the deer."
"Všechny mezi jablkem a králíkem.","All the pictures between the apple and the rabbit."
"Všechny mezi květinou a tramvají.","All the pictures between the flower and the tram."
"Co znamená všechny mezi komárem a jednorožcem?","What does “all the pictures between the mosquito and the unicorn” mean?"
"Kde je labuť a princezna? Vyber všechny obrázky, které jsou mezi nimi.","Where are the swan and the princess? Choose all the pictures that are between them."
"Kde jsou kalhoty a kelímek? Vyber obrázky, které jsou mezi nimi.","Where are the pants and the cup? Choose the pictures that are between them."
"Podívej se, kde jsou čtyři obrázky, to je o jeden méně než pět.","Look for where there are four pictures—that’s one less than five."
"Všechny mezi divokým prasetem a taškou.","All the pictures between the wild boar and the bag."
"Що означає всі між огірком та зеброю?","What does “all the pictures between the cucumber and the zebra” mean?"
"Bạn có biết ""ở ô bên phải, hàng giữa"" nghĩa là gì không?","Do you know what “in the box on the right, in the middle row” means?"
"Tất cả các hình ở giữa có nghĩa là gì?","What do all the pictures in the middle mean?"
"Kde je divoké prase a kelímek? Vyber obrázek, který je mezi nimi.","Where is the wild boar and the cup? Choose the picture that is between them."
"Co znamená všechny mezi divokým prasetem a netopýrem?","What do all the pictures between the wild boar and the bat mean?"
"Знайди локомотив зі звуком числа сім. Ти точно знаєш, що в нього є вагончики з сімома малюнками і з числом сім?","Find the train engine with the sound of the number seven. Are you sure it has carriages with seven pictures and the number seven?"
"Знайди локомотив зі звуком числа шість. Ти точно знаєш, що в нього є вагончики з шістьма малюнками і з числом шість?","Find the train engine with the sound of the number six. Are you sure it has carriages with six pictures and the number six?"
"Kde je rostlina a diamant? Vyber obrázek, který je mezi nimi.","Where is the plant and the diamond? Choose the picture that is between them."
"Kde je jablko a medvídek? Vyber obrázek, který je mezi nimi.","Where is the apple and the teddy bear? Choose the picture that is between them."
"Доод дунд.","Down in the middle."
"Чи цэнхэр хайрцагт улаан хайрцгаас цөөн зураг байгаа гэдэгтээ итгэлтэй байна уу?","Are you sure there are fewer pictures in the blue box than in the red box?"
"Všechny mezi prasátkem a trumpetou.","All the pictures between the piglet and the trumpet."
"Co znamená všechny mezi prasátkem a trumpetou?","What does all between the piglet and the trumpet mean?"
"Všechny mezi javorovým listem a kelímkem.","All between the maple leaf and the cup."
"Všechny mezi medvídkem a netopýrem.","All between the teddy bear and the bat."
"That doesn't seem correct.","That doesn't seem correct."
"Let's explore other options.","Let's explore other options."
"Co znamená všechny mezi divokým prasetem a psem?","What does all between the wild boar and the dog mean?"
"Co znamená všechny mezi okurkou a jelenem?","What does all between the cucumber and the deer mean?"
"Všechny mezi psem a dortem.","All between the dog and the cake."
"Kde jsou šaty a salát? Vyber obrázek, který je mezi nimi.","Where are the dress and the salad? Pick the picture that is between them."
"Co znamená všechny mezi vrtulníkem a diamantem?","What does “all between the helicopter and the diamond” mean?"
"Co znamená všechny mezi listem a salátem?","What does “all between the leaf and the lettuce” mean?"
"Všechny mezi listnatým stromem a kuřecím stehnem.","All between the leafy tree and the chicken drumstick."
"Kde je moucha a dort? Vyber všechny obrázky, které jsou mezi nimi.","Where is the fly and the cake? Choose all the pictures that are between them."
"Kde je jelen a salát? Vyber obrázky, které jsou mezi nimi.","Where is the deer and the lettuce? Choose the pictures that are between them."
"Co znamená všechny mezi zebrou a kuřecím stehnem?","What does “all between the zebra and the chicken drumstick” mean?"
"Všechny mezi lanovkou a princeznou.","All between the cable car and the princess."
"Co znamená všechny mezi kyticí a melounem?","What does “all between the bouquet and the watermelon” mean?"
"Všechny mezi žirafou a medvídkem.","All between the giraffe and the teddy bear."
"Kde je žirafa a medvídek? Vyber všechny obrázky, které jsou mezi nimi.","Where is the giraffe and the teddy bear? Choose all the pictures that are between them."
"Všechny mezi mouchou a taškou.","All the ones between the fly and the bag."
"Všechny mezi prasátkem a žirafou.","All the ones between the piglet and the giraffe."
"Kde je housenka a taška? Vyber obrázek, který je mezi nimi.","Where is the caterpillar and the bag? Choose the picture that is between them."
"Co znamená mezi mouchou a mrkví?","What does “between the fly and the carrot” mean?"
"Co znamená všechny mezi okurkou a drakem?","What does “all the ones between the cucumber and the kite” mean?"
"Kde je trumpeta a tramvaj? Vyber všechny obrázky, které jsou mezi nimi.","Where is the trumpet and the tram? Choose all the pictures that are between them."
"Co znamená všechny mezi králíkem a dortem?","What does “all the ones between the rabbit and the cake” mean?"
